device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
12647961489,928956838907,"(0.5037899017333984, 0.30120551586151123)","(2.7405998706817627, 214.1590118408203, 71.11052703857422)",1,4.9500732421875,1,"(-96.60892486572266, -112.3911361694336, 804.5428466796875)",1,"(0.5118718147277832, 0.28829556703567505)","(7.201898574829102, 217.92581176757812, 72.48155975341797)",1,4.89410400390625,1,"(-29.865896224975586, -106.76152801513672, 809.0681762695312)",1
12647978727,928956856145,"(0.5033896565437317, 0.2992081940174103)","(2.519646167755127, 214.7418212890625, 71.32263946533203)",1,4.95758056640625,1,"(-96.6566162109375, -112.41362762451172, 804.54638671875)",1,"(0.5124486684799194, 0.28938406705856323)","(7.520277500152588, 217.6082305908203, 72.36597442626953)",1,4.8995208740234375,1,"(-29.928447723388672, -106.77753448486328, 809.0741577148438)",1
12647995367,928956872785,"(0.5115333199501038, 0.30371493101119995)","(7.014991283416748, 213.42684936523438, 70.84403228759766)",1,4.9713592529296875,1,"(-96.75798797607422, -112.50928497314453, 804.7991333007812)",1,"(0.5114555358886719, 0.28204625844955444)","(6.9721174240112305, 219.7492218017578, 73.14519500732422)",1,4.895263671875,1,"(-30.001859664916992, -106.85089874267578, 809.309814453125)",1
12648011409,928956888827,"(0.5098569989204407, 0.29858383536338806)","(6.089696407318115, 214.92396545410156, 71.38896179199219)",1,4.9632568359375,1,"(-96.75753021240234, -112.54679107666016, 804.9067993164062)",1,"(0.5109779834747314, 0.2866438329219818)","(6.708464622497559, 218.4077911376953, 72.65689849853516)",1,4.89947509765625,1,"(-30.007291793823242, -106.88813781738281, 809.4216918945312)",1
12648028647,928956906066,"(0.5057276487350464, 0.30294063687324524)","(3.810267448425293, 213.6527557373047, 70.92626953125)",1,4.9588623046875,1,"(-96.74374389648438, -112.5679931640625, 804.9652709960938)",1,"(0.5050703287124634, 0.2867075502872467)","(3.447399616241455, 218.38922119140625, 72.6501235961914)",1,4.903472900390625,1,"(-29.97954559326172, -106.91586303710938, 809.4984130859375)",1
12648045287,928956922706,"(0.5005588531494141, 0.3076861798763275)","(0.9570674300193787, 212.2681121826172, 70.42229461669922)",1,4.9386138916015625,1,"(-96.69563293457031, -112.60540008544922, 805.2390747070312)",1,"(0.5036801099777222, 0.2918502986431122)","(2.6800169944763184, 216.88868713378906, 72.10404968261719)",1,4.8958282470703125,1,"(-29.914579391479492, -106.95417785644531, 809.7518920898438)",1
12648061329,928956938748,"(0.5027157664299011, 0.3068256378173828)","(2.147686004638672, 212.51919555664062, 70.5136947631836)",1,4.94110107421875,1,"(-96.65141296386719, -112.6505126953125, 805.4155883789062)",1,"(0.5095373392105103, 0.29418104887008667)","(5.913201808929443, 216.20863342285156, 71.85648345947266)",1,4.8850860595703125,1,"(-29.85816192626953, -106.9998779296875, 809.9244995117188)",1
12648078567,928956955987,"(0.5047860145568848, 0.30060452222824097)","(3.2904465198516846, 214.33438110351562, 71.17435455322266)",1,4.951690673828125,1,"(-96.62672424316406, -112.64583587646484, 805.349609375)",1,"(0.5109705328941345, 0.3085121810436249)","(6.704295635223389, 212.0271453857422, 70.33450317382812)",1,4.8865966796875,1,"(-29.840526580810547, -106.99629211425781, 809.83154296875)",1
12648095207,928956972627,"(0.5056933760643005, 0.3061200678348541)","(3.7913472652435303, 212.72508239746094, 70.58855438232422)",1,4.944000244140625,1,"(-96.59178924560547, -112.62672424316406, 805.1088256835938)",1,"(0.5121670961380005, 0.3042982816696167)","(7.364855766296387, 213.2566375732422, 70.78206634521484)",1,4.88623046875,1,"(-29.82859992980957, -107.00528717041016, 809.6102905273438)",1
12648111249,928956988669,"(0.5040627121925354, 0.30302491784095764)","(2.8911590576171875, 213.62818908691406, 70.91729736328125)",1,4.9281158447265625,1,"(-96.62062072753906, -112.6158218383789, 805.0333862304688)",1,"(0.5097305178642273, 0.3009074926376343)","(6.019834041595459, 214.24595642089844, 71.14218139648438)",1,4.8833160400390625,1,"(-29.85953712463379, -107.01603698730469, 809.5284423828125)",1
