device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,Image
14502639878,496268711779,"(0.4191451072692871, 0.45037513971328735)","(-43.98360824584961, 170.63485717773438, 55.26901626586914)",1,5.24896240234375,1,"(-20.57402801513672, 5.4259934425354, 683.6713256835938)",1,"(0.4581753611564636, 0.34915605187416077)","(-22.438756942749023, 200.168212890625, 66.0182113647461)",1,5.6392669677734375,1,"(43.12012481689453, 4.501408100128174, 682.6046142578125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502655861,496268727764,"(0.41489335894584656, 0.3904201090335846)","(-46.330596923828125, 188.1283416748047, 61.636085510253906)",1,5.2248687744140625,1,"(-20.721834182739258, 5.490817070007324, 684.1998291015625)",1,"(0.4443584680557251, 0.3075140714645386)","(-30.06572914123535, 212.3183135986328, 70.44051361083984)",1,5.5810546875,1,"(43.05556106567383, 4.572281360626221, 683.16162109375)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502673034,496268744944,"(0.4118075966835022, 0.3978637158870697)","(-48.03395080566406, 185.9564666748047, 60.845577239990234)",1,5.195068359375,1,"(-20.790943145751953, 5.451513767242432, 684.5570678710938)",1,"(0.4415530562400818, 0.33555662631988525)","(-31.61433219909668, 204.13616943359375, 67.46247863769531)",1,5.5067901611328125,1,"(43.05949783325195, 4.5404133796691895, 683.4979858398438)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502689890,496268761806,"(0.41537150740623474, 0.4034508168697357)","(-46.06663131713867, 184.3262481689453, 60.25229263305664)",1,5.1416015625,1,"(-20.899866104125977, 5.395216464996338, 684.54541015625)",1,"(0.43940794467926025, 0.3310566544532776)","(-32.798431396484375, 205.44915771484375, 67.94037628173828)",1,5.4596405029296875,1,"(43.0135383605957, 4.506143093109131, 683.4942626953125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502705785,496268777704,"(0.41747936606407166, 0.410264790058136)","(-44.90309524536133, 182.33811950683594, 59.52864456176758)",1,5.0682525634765625,1,"(-20.99977684020996, 5.31402587890625, 684.6650390625)",1,"(0.4385649263858795, 0.3406231701374054)","(-33.2637939453125, 202.6578826904297, 66.92443084716797)",1,5.409332275390625,1,"(42.98343276977539, 4.4892191886901855, 683.6265258789062)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502722904,496268794822,"(0.4167552888393402, 0.4077748954296112)","(-45.30278778076172, 183.0646209716797, 59.79307556152344)",1,5.0509033203125,1,"(-21.052165985107422, 5.27268123626709, 684.762451171875)",1,"(0.43757763504981995, 0.3378227651119232)","(-33.80878448486328, 203.4749755859375, 67.22183990478516)",1,5.3673248291015625,1,"(42.95811080932617, 4.474514007568359, 683.7201538085938)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502739805,496268811722,"(0.42159610986709595, 0.41486668586730957)","(-42.63064193725586, 180.9954071044922, 59.03986358642578)",1,5.0192718505859375,1,"(-21.12882423400879, 5.233266353607178, 684.9514770507812)",1,"(0.4403223395347595, 0.32933327555656433)","(-32.293704986572266, 205.95204162597656, 68.1234130859375)",1,5.3303070068359375,1,"(42.928993225097656, 4.43745756149292, 683.923095703125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502755705,496268827622,"(0.42401736974716187, 0.4147149324417114)","(-41.29408264160156, 181.03968811035156, 59.055999755859375)",1,4.98114013671875,1,"(-21.16256332397461, 5.2031989097595215, 685.2631225585938)",1,"(0.438762903213501, 0.3299807608127594)","(-33.15451431274414, 205.7631072998047, 68.05464172363281)",1,5.299560546875,1,"(42.9493293762207, 4.447322368621826, 684.2396850585938)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502772870,496268844786,"(0.4224034249782562, 0.41732683777809143)","(-42.18498229980469, 180.277587890625, 58.77862548828125)",1,4.9516448974609375,1,"(-21.16594886779785, 5.195372581481934, 685.4207763671875)",1,"(0.44154563546180725, 0.3309022784233093)","(-31.618431091308594, 205.4942169189453, 67.95677185058594)",1,5.279937744140625,1,"(42.960201263427734, 4.4472832679748535, 684.3898315429688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502789721,496268861637,"(0.3971690833568573, 0.3764701783657074)","(-56.114418029785156, 192.19857788085938, 63.117515563964844)",1,4.923370361328125,1,"(-21.209901809692383, 5.247587203979492, 685.4716186523438)",1,"(0.4167848229408264, 0.29042530059814453)","(-45.286468505859375, 217.30442810058594, 72.25532531738281)",1,5.2535247802734375,1,"(42.8651008605957, 4.5026044845581055, 684.450927734375)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
